Adjektiv,Komparativ,Superlativ,Übersetzung,Beschreibung
automatisch,automatischer,am automatischsten,automático,-
direkt,direkter,am direktesten,directo,-
durchschnittlich,durchschnittlicher,am durchschnittlichsten,promedio,-
einfach,einfacher,am einfachsten,sencillo,-
früh,früher,am frühesten,temprano,-
kaputt,kaputter,am kaputtesten,roto,-
kompliziert,komplizierter,am kompliziertesten,complicado,-
normal,normaler,am normalsten,normal,-
technish,technischer,am technischsten,técnico,-
verschieden,verschiedener,am verschiedensten,diferente,-
unterschiedlich,unterschiedlicher,am unterschiedlichsten,diferente,-
wahr,wahrer,am wahrsten,verdadero,-
aktiv,aktiver,am aktivsten,activo,-
berufstätig,berufstätiger,am berufstätigsten,activo laboralmente,-
allein,alleiner,am alleinsten,solo,-
ärgerlich,ärgerlicher,am ärgerlichsten,molesto,-
beruflich,beruflicher,am beruflichsten,laboral,-
besetzt,besetzter,am besetztesten,ocupado,-
dauernd,dauernder,am dauerndsten,permanente,-
frei,freier,am freiesten,libre,-
früher,früherer,am frühersten,anterior,de antes
vorig,voriger,am vorigsten,anterior,anterior inmediato
glücklich,glücklicher,am glücklichsten,feliz,-
höflich,höflicher,am höflichsten,cortés,-
kritisch,kritischer,am kritischsten,crítico,-
ledig,lediger,am ledigsten,soltero,-
neugierig,neugieriger,am neugierigsten,curioso,-
spät,später,am spätesten,tarde,-
überzeugt,überzeugter,am überzeugtsten,convencido,-
unbedingt,unbedingter,am unbedingtsten,indispensable,-
unfreundlich,unfreundlicher,am unfreundlichsten,descortés,-
unmöglich,unmöglicher,am unmöglichsten,imposible,-
verheiratet,verheirateter,am verheiratetsten,casado,-
deutsch,deutscher,am deutschesten,alemán,-
erste,erster,am ersten,primero,-
flach,flacher,am flachsten,plano,-
folgend,folgender,am folgendsten,siguiente,-
gleichzeitig,gleichzeitiger,am gleichzeitigsten,simultáneo,-
ideal,idealer,am idealsten,ideal,-
persönlich,persönlicher,am persönlichsten,personal,-
plötzlich,plötzlicher,am plötzlichsten,repentino,-
sonnig,sonniger,am sonnigsten,soleado,-
täglich,täglicher,am täglichsten,diario,-
typisch,typischer,am typischsten,típico,-
warm,warmer,am wärmsten,cálido,-
zweite,zweiter,am zweitesten,segundo,-
amerikanisch,amerikanischer,am amerikanischsten,americano,-
durstig,durstiger,am durstigsten,sediento,-
notwendig,notwendiger,am notwendigsten,necesario,-
sozial,sozialer,am sozialsten,social,-
ausländisch,ausländischer,am ausländischsten,extranjero,-
dankbar,dankbarer,am dankbarsten,agradecido,-
demokratisch,demokratischer,am demokratischsten,democrático,-
enttäuscht,enttäuschter,am enttäuschtesten,decepcionado,-
international,internationaler,am internationalsten,internacional,-
kapitalistisch,kapitalistischer,am kapitalistischsten,capitalista,-
kommunistisch,kommunistischer,am kommunistischsten,comunista,-
leer,leerer,am leersten,vacío,-
liberal,liberaler,am liberalsten,liberal,-
national,nationaler,am nationalsten,nacional,-
politisch,politischer,am politischsten,político,-
sozialdemokratisch,sozialdemokratischer,am sozialdemokratischsten,socialdemócrata,-
sozialistisch,sozialistischer,am sozialistischsten,socialista,-
verletzt,verletzter,am verletztesten,herido,-
völlig,völliger,am völligsten,completamente,-
wahrscheinlich,wahrscheinlicher,am wahrscheinlichsten,probable,-
westlich,westlicher,am westlichsten,occidental,-
salopp,salopper,am saloppsten,informal,-
zufällig,zufälliger,am zufälligsten,casual/aleatorio,-
zusammen,-,-,junto,-
annehmbar,annehmbarer,am annehmbarsten,aceptable,-
akzeptabel,akzeptabler,am akzeptabelsten,aceptable,-
ehrenamtlich,ehrenamtlicher,am ehrenamtlichsten,voluntario,-
verwandt,verwandter,am verwandtesten,relacionado,-
betriebsbedingt,-,-,relacionado con el trabajo,-
altersbedingt,-,-,relacionado con la edad,-
überhaupt,-,-,en absoluto,-
falsch,falscher,am falschesten,falso,-
unverständlich,unverständlicher,am unverständlichsten,incomprensible,-
verständlich,verständlicher,am verständlichsten,comprensible,-
inakzeptabel,inakzeptabler,am inakzeptabelsten,inaceptable,-
aufrecht,aufrechter,am aufrechtesten,erguido/honesto,-
verzweifelt,verzweifelter,am verzweifeltesten,desesperado,-
heimlich,heimlicher,am heimlichsten,secreto,-
undeutlich,undeutlicher,am undeutlichsten,indistinto,-
aufgeregt,aufgeregter,am aufgeregtesten,emocionado,-
häufig,häufiger,am häufigsten,frecuente,-
unwichtig,unwichtiger,am unwichtigsten,insignificante,-
betrunken,betrunkener,am betrunkensten,ebrio,-
begeistert,begeisterter,am begeistertsten,entusiasmado,-
hysterisch,hysterischer,am hysterischsten,histérico,-
schrecklich,schrecklicher,am schrecklichsten,horrible,-
positiv,positiver,am positivsten,positivo,-
neutral,neutraler,am neutralsten,neutral,-
