Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
ächzen,ächzt,hat geächzt,ächzte,ächzte,gemir,-,-,0/0,0/0,0/0
raunen,raunt,hat geraunt,raunte,raunte,murmurar,-,-,0/0,0/0,0/0
nuscheln,nuschelt,hat genuschelt,nuschelte,nuschelte,murmurar entre dientes,-,-,0/0,0/0,0/0
lästern,lästert,hat gelästert,lästerte,lästerte,murmurar/calumniar,-,-,0/0,0/0,0/0
seufzen,seufzt,hat geseufzt,seufzte,seufzte,suspirar,-,-,0/0,0/0,0/0
äußern,äußert,hat geäußert,äußerte,äußerte,expresar,-,-,0/0,0/0,0/0
ausatmen,atmet aus,hat ausgeatmet,atmete aus,atmete aus,exhalar,-,-,0/0,0/0,0/0
stottern,stottert,hat gestottert,stotterte,stotterte,tartamudear,-,-,0/0,0/0,0/0
lispeln,lispelt,hat gelispelt,lispelte,lispelte,cecear,-,-,0/0,0/0,0/0
prahlen,prahlt,hat geprahlt,prahlte,prahlte,jactarse,-,-,0/0,0/0,0/0
petzen,petzt,hat gepetzt,petzte,petzte,chismear,-,-,0/0,0/0,0/0
tratschen,tratscht,hat getratscht,tratschte,tratschte,chismear,-,-,0/0,0/0,0/0
vortragen,trägt vor,hat vorgetragen,trug vor,trüge vor,recitar/exponer,-,-,0/0,0/0,0/0
motzen,motzt,hat gemotzt,motzte,motzte,refunfuñar,-,-,0/0,0/0,0/0
nörgeln,nörgelt,hat genörgelt,nörgelte,nörgelte,criticar constantemente,-,-,0/0,0/0,0/0
ermahnen,ermahnt,hat ermahnt,ermahnte,ermahnte,amonestar,-,-,0/0,0/0,0/0
verletzen,verletzt,hat verletzt,verletzte,verletzte,lastimar/herir,-,Akk,0/0,0/0,0/0
brüllen,brüllt,hat gebrüllt,brüllte,brüllte,gritar,-,-,0/0,0/0,0/0
grölen,grölt,hat gegrölt,grölte,grölte,gritar fuerte,-,-,0/0,0/0,0/0
kreischen,kreischt,hat gekreischt,kreischte,kreischte,gritar chillando,-,-,0/0,0/0,0/0
stöhnen,stöhnt,hat gestöhnt,stöhnte,stöhnte,gimotear,-,-,0/0,0/0,0/0
jubeln,jubelt,hat gejubelt,jubelte,jubelte,vitorear,-,-,0/0,0/0,0/0
unterdrücken,unterdrückt,hat unterdrückt,unterdrückte,unterdrückte,reprimir,-,Akk,0/0,0/0,0/0
verdrängen,verdrängt,hat verdrängt,verdrängte,verdrängte,suprimir/desplazar,-,Akk,0/0,0/0,0/0
missfallen,missfällt,hat missfallen,missfiel,missfiele,desagradar,-,Dat,0/0,0/0,0/0
beherrschen,beherrscht,hat beherrscht,beherrschte,beherrschte,dominar,-,Akk,0/0,0/0,0/0
bejahen,bejaht,hat bejaht,bejahte,bejahte,afirmar,-,-,0/0,0/0,0/0
verneinen,verneint,hat verneint,verneinte,verneinte,negar,-,-,0/0,0/0,0/0
aussprechen,spricht aus,hat ausgesprochen,sprach aus,späche aus,pronunciar,-,-,0/0,0/0,0/0
sticken,stickt,hat gestickt,stickte,stickte,bordar,-,-,0/0,0/0,0/0
widerrufen,widerruft,hat widerrufen,widerrief,widerriefe,retractarse,-,-,0/0,0/0,0/0
erstatten,erstattet,hat erstattet,erstattete,erstattete,reembolsar,-,-,0/0,0/0,0/0
stillen,stillt,hat gestillt,stillte,stillte,calmar/amamantar,-,-,0/0,0/0,0/0
anpassen,passt an,hat angepasst,passte an,passte an,adaptar,-,-,0/0,0/0,0/0
wippen,wippt,hat gewippt,wippte,wippte,oscilar,-,-,0/0,0/0,0/0
rutschen,rutscht,ist gerutscht,rutschte,rutschte,resbalar,-,-,0/0,0/0,0/0
schaukeln,schaukelt,hat geschaukelt,schaukelte,schaukelte,columpiarse,-,-,0/0,0/0,0/0
erkranken,erkrankt,ist erkrankt,erkrankte,erkrankte,enfermarse,-,-,0/0,0/0,0/0
unterstützen,unterstützt,hat unterstützt,unterstützte,unterstützte,apoyar,-,Akk,0/0,0/0,0/0
auskommen,kommt aus,ist ausgekommen,kam aus,käme aus,entenderse con,-,Dat,0/0,0/0,0/0
zurechtkommen,kommt zurecht,ist zurechtgekommen,kam zurecht,käme zurecht,arreglárselas,-,Dat,0/0,0/0,0/0
aushalten,hält aus,hat ausgehalten,hielt aus,hält aus,soportar,-,Akk,0/0,0/0,0/0
flirten,flirtet,hat geflirtet,flirtete,flirtete,flirtear,-,Akk,0/0,0/0,0/0
vermissen,vermisst,hat vermisst,vermisste,vermisste,extrañar,-,Akk,0/0,0/0,0/0
verlieben,verliebt,hat verliebt,verliebte,verliebte,enamorarse,-,Akk,0/0,0/0,0/0
verloben,verlobt,hat verlobt,verlobte,verlobte,comprometerse,-,Akk,0/0,0/0,0/0
zussamenleben,lebt zusammen,hat zusammengelebt,lebte zusammen,lebte zusammen,convivir/vivir juntos,-,Dat,0/0,0/0,0/0
gernhaben,hat gern,hat gerngehabt,habe gern,hab gern,gustar/agradar,-,Akk,0/0,0/0,0/0
schmusen,schmust,hat geschmust,schmuste,schmuste,acurrucarse/besarse,con caricias,Akk,0/0,0/0,0/0
verführen,verführt,hat verführt,verführte,verführte,seducir,-,Akk,0/0,0/0,0/0
sehnen,sehnt,hat gesehnt,sehnte,sehnte,anhelar/añorar,-,Akk,0/0,0/0,0/0
