Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
waschen,wäscht,hat gewaschen,wusch,wüsche,lavar,-,Akk,0/0,0/0,0/0
spülen,spült,hat gespült,spülte,spülte,enjuagar,-,Akk,0/0,0/0,0/0
rollen,rollt,hat gerollt,rollte,rollte,rodar,-,Akk,0/0,0/0,0/0
trainieren,trainiert,hat trainiert,trainierte,trainierte,entrenar,-,Akk,0/0,0/0,0/0
bessern,bessert,hat gebessert,besserte,besserte,mejorar,mejorar algo,Akk,0/0,0/0,0/0
verbessern,verbessert,hat verbessert,verbesserte,verbesserte,mejorar,hacer algo de mejor manera,Akk,0/0,0/0,0/0
zeigen,zeigt,hat gezeigt,zeigte,zeigte,mostrar,-,AkkDat,0/0,0/0,0/0
brauchen,braucht,hat gebraucht,brauchte,brauchte,necesitar,-,Akk,0/0,0/0,0/0
backen,bäckt,hat gebacken,buk,böke,hornear,-,Akk,0/0,0/0,0/0
beobachten,beobachtet,hat beobachtet,beobachtete,beobachtete,observar,-,Akk,0/0,0/0,0/0
zahlen,zahlt,hat gezahlt,zahlte,zahlte,pagar,-,Akk,0/0,0/0,0/0
bezahlen,bezahlt,hat bezahlt,bezahlte,bezahlte,pagar,suele usarse si se quiere indicar qué se paga,Akk,0/0,0/0,0/0
entrichten,entrichtet,hat entrichtet,entrichtete,entrichtete,pagar/abonar,-,-,0/0,0/0,0/0
fragen,fragt,hat gefragt,fragte,fragte,preguntar,-,Akk,0/0,0/0,0/0
gewinnen,gewinnt,hat gewonnen,gewann,gewänne,ganar,-,Akk,0/0,0/0,0/0
verdienen,verdient,hat verdient,verdiente,verdiente,ganar dinero,-,Akk,0/0,0/0,0/0
gießen,gießt,hat gegossen,goss,gösse,regar,-,Akk,0/0,0/0,0/0
lieben,liebt,hat geliebt,liebte,liebte,amar,-,Akk,0/0,0/0,0/0
treffen,trifft,hat getroffen,traf,träfe,encontrarse con alguien,-,Akk,0/0,0/0,0/0
zuflüstern,flüstert zu,hat zugeflüstert,flüsterte zu,flüsterte zu,susurrar,-,Dat,0/0,0/0,0/0
flüstern,flüstert,hat geflüstert,flüsterte,flüsterte,susurrar,-,-,0/0,0/0,0/0
tuscheln,tuschelt,hat getuschelt,tuschelte,tuschelte,susurrar,charlar en secreto,-,0/0,0/0,0/0
schwatzen,schwatzt,hat geschwatzt,schwatzte,schwatzte,charlar,-,-,0/0,0/0,0/0
