Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
e,Zwiebelsuppe,-,-n,-,Sopa de cebolla,-,1/2 14-02-25,0/0 11-02-24
r,Salat,-,-e,-,Ensalada,-,0/0 11-02-24,0/0 11-02-24
r,Kartoffelsalat,-,-e,-,Ensalada de papas,-,0/0 11-02-24,0/0 11-02-24
r,Obstsalat,-,-e,-,Ensalada de frutas,-,0/0 11-02-24,0/0 11-02-24
e,Wurst,-,⸚e,-,Salchicha,-,0/0 11-02-24,1/2 11-02-24
e,Bratwurst,-,⸚e,-,Salchicha frita,-,0/0 11-02-24,2/4 14-02-25
r,Reis,-,-e,-,Arroz,-,0/0 11-02-24,0/0 11-02-24
e,Nudel,-,-n,-,Pasta,-,0/0 11-02-24,0/0 11-02-24
e,Zahnpasta,-,-pasten,-,Pasta de dientes,-,0/0 11-02-24,1/3 15-02-25
r,Keks,-,-e,-,Galleta,-,0/0 11-02-24,1/2 14-02-25
r,Kaffee,-,-s,-,Café,-,0/0 11-02-24,0/0 11-02-24
r,Tee,-,-s,-,Té,-,1/1 14-02-25,0/0 11-02-24
r,Kakao,-,-s,-,Chocolate,semilla,0/0 11-02-24,0/0 11-02-24
e,Schokolade,-,-n,-,Chocolate,dulce,0/0 11-02-24,1/1 14-02-25
e,Milch,-,-en,-,Leche,-,1/1 11-02-24,0/0 11-02-24
r,Zucker,-,-,-,Azúcar,-,0/0 11-02-24,0/0 11-02-24
r,Honig,-,-,-,Miel,-,0/0 11-02-24,0/0 11-02-24
r,Pfeffer,-,-,-,Pimienta,-,0/0 11-02-24,0/0 11-02-24
r,Salz,-,-,-,Sal,-,0/0 11-02-24,1/2 11-02-24
e,Butter,-,-n,-,Mantequilla,-,0/0 11-02-24,0/0 11-02-24
r,Mantel,-,-,-,Abrigo,-,0/0 11-02-24,2/3 15-02-25
r,Hut,-,⸚e,-,Sombrero,-,0/0 11-02-24,0/0 11-02-24
r,Rock,-,⸚e,-,Falda,-,0/0 11-02-24,1/1 11-02-24
r,Schinken,-,-,-,Jamón,-,0/0 11-02-24,0/0 11-02-24
r,Speck,-,-,-,Tocino,-,0/0 11-02-24,0/0 11-02-24
r,Ketchup,-,-,-,Catsup,-,0/0 11-02-24,0/0 11-02-24
e,Bluse,-,-n,-,Blusa,-,0/0 11-02-24,1/2 11-02-24
r,Senf,-,-,-,Mostaza,-,0/0 11-02-24,0/0 11-02-24
r,Essig,-,-e,-,Vinagre,-,0/0 11-02-24,0/0 11-02-24
r,Öl,-,-e,-,Aceite,-,1/1 11-02-24,0/0 11-02-24
e,Soße,-,-n,-,Salsa,-,0/0 11-02-24,0/0 11-02-24
s,Fitnessstudio,-,-s,-,Gimnasio,-,0/0 11-02-24,0/0 11-02-24
e,Daten,-,-,-,Datos,-,0/0 11-02-24,0/0 11-02-24
e,Massageliege,-,-n,-,Camilla de masaje,-,1/2 14-02-25,0/0 11-02-24
e,Massage,-,-n,-,Masaje,-,0/0 11-02-24,0/0 11-02-24
e,Bank,-,⸚e,-,Banco,de sentarse o de dinero,0/0 11-02-24,1/2 11-02-24
e,Sitzbank,-,⸚e,-,Banca,-,0/0 11-02-24,1/3 11-02-24
r,Monitor,-,-e,-,Monitor,-,0/0 11-02-24,0/0 11-02-24
r,Computer,-,-,-,Computadora,-,0/0 11-02-24,0/0 11-02-24
r,Schreibtisch,-,-e,-,Escritorio,-,0/0 11-02-24,0/0 11-02-24
e,Essensbar,-,-s,-,Barra de comida,-,1/2 11-02-24,0/0 11-02-24
s,Toilettenbecken,-,-,-,Taza de baño,-,0/0 11-02-24,0/0 11-02-24
e,Gießkanne,-,-n,-,Regadera,-,0/0 11-02-24,0/0 11-02-24
e,Klasse,-,-n,-,Clase,grupo de alumnos,0/0 11-02-24,1/1 11-02-24
r,Unterricht,-,-e,-,Clase,lección,1/1 15-02-25,1/2 14-02-25
r,Schweinebraten,-,-,-,Lomo de cerdo,-,1/2 11-02-24,0/0 11-02-24
r,Käsekuchen,-,-,-,Pastel de queso,-,0/0 11-02-24,1/2 11-02-24
s,Rindersteak,-,-s,-,Filete de res,-,1/2 13-02-25,1/2 11-02-24
r,Früchtebecher,-,-,-,Frutero,-,0/0 11-02-24,1/2 14-02-25
s,Hauptgericht,-,-e,-,Plato principal,-,0/0 11-02-24,1/4 13-02-25
e,Fischplatte,-,-n,-,Plato de pescado,-,0/0 11-02-24,0/0 11-02-24
r,Nachtisch,-,-,-,Postre,-,0/0 11-02-24,0/0 11-02-24
s,Kotelett,-,-s,-,Chuleta,-,0/0 11-02-24,1/2 11-02-24
e,Kleidung,-,-en,-,Ropa,general,0/0 11-02-24,0/0 11-02-24
e,Kleider,-,-,-,Ropa,formal,0/0 11-02-24,0/0 11-02-24
e,Wäsche,-,-,-,Ropa sucia,-,0/0 11-02-24,0/0 11-02-24
e,Bettwäsche,-,-,-,Ropa de cama,-,1/2 14-02-25,1/2 11-02-24
s,Kleid,-,-er,-,Vestido,-,0/0 11-02-24,0/0 11-02-24
r,Text,-,-e,-,Texto,-,0/0 11-02-24,0/0 11-02-24
e,Hose,-,-n,-,Pantalón,-,0/0 11-02-24,1/2 14-02-25
r,Strumpf,_,⸚e,-,Calceta/Media,-,0/0 11-02-24,0/0 11-02-24
r,Ofen,-,⸚,-,Horno,-,0/0 11-02-24,1/2 11-02-24
s,Buch,-,⸚er,-,Libro,-,1/1 11-02-24,0/0 11-02-24
r,Baum,-,⸚e,-,Árbol,-,0/0 11-02-24,1/1 11-02-24
s,Spielzeug,-,-e,-,Juguete,-,0/0 11-02-24,0/0 11-02-24
s,Möbel,-,-,-,Mueble,-,0/0 11-02-24,0/0 11-02-24
r,Blumentopf,-,-töpfe,-,Maceta,-,1/2 11-02-24,1/3 11-02-24
e,Schublade,-,-n,-,Cajón,-,0/0 11-02-24,1/2 11-02-24
e,Schere,-,-n,-,Tijeras,singular,0/0 11-02-24,0/0 11-02-24
e,Blume,-,-n,-,Flor,-,0/0 11-02-24,0/0 11-02-24
r,Rucksack,-,-säcke,-,Mochila,-,1/2 11-02-24,0/0 11-02-24
e,Kommode,-,-n,-,Cómoda,-,0/0 11-02-24,0/0 11-02-24
s,Heft,-,-e,-,Cuaderno,-,0/0 11-02-24,1/2 11-02-24
